MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.6822;0.0396;0.0960;2;0.0000;0.5000;complete;7.1749;sigmoid
0.6446;0.0398;0.0931;2;0.0000;0.5000;average;7.2534;sigmoid
0.6854;0.0396;0.0844;2;0.0000;0.5000;single;7.2381;sigmoid
0.6822;0.0396;0.0960;2;0.0000;0.5000;complete;7.0829;relu
0.6446;0.0398;0.0931;2;0.0000;0.5000;average;7.2048;relu
0.6854;0.0396;0.0844;2;0.0000;0.5000;single;7.0947;relu
0.7082;0.0395;0.1143;2;0.0000;0.5500;complete;24.3603;sigmoid
0.6591;0.0397;0.0923;2;0.0000;0.5500;average;24.4453;sigmoid
0.6613;0.0397;0.0709;2;0.0000;0.5500;single;24.1754;sigmoid
0.7082;0.0395;0.1143;2;0.0000;0.5500;complete;24.3379;relu
0.6591;0.0397;0.0923;2;0.0000;0.5500;average;24.6252;relu
0.6613;0.0397;0.0709;2;0.0000;0.5500;single;24.4236;relu
0.7367;0.0394;0.1190;2;0.0000;0.7500;complete;24.3992;sigmoid
0.7260;0.0395;0.0990;2;0.0000;0.7500;average;24.2911;sigmoid
0.7199;0.0397;0.0737;2;0.0000;0.7500;single;24.2916;sigmoid
0.7367;0.0394;0.1190;2;0.0000;0.7500;complete;24.3938;relu
0.7260;0.0395;0.0990;2;0.0000;0.7500;average;24.2940;relu
0.7199;0.0397;0.0737;2;0.0000;0.7500;single;24.3206;relu
0.7683;0.0391;0.1293;2;0.0000;0.9500;complete;24.6853;sigmoid
0.7564;0.0394;0.0964;2;0.0000;0.9500;average;24.6443;sigmoid
0.7467;0.0395;0.0965;2;0.0000;0.9500;single;24.6875;sigmoid
0.7683;0.0391;0.1293;2;0.0000;0.9500;complete;24.2019;relu
0.7564;0.0394;0.0964;2;0.0000;0.9500;average;24.4387;relu
0.7467;0.0395;0.0965;2;0.0000;0.9500;single;24.1466;relu
0.7152;0.0392;0.1169;2;0.0000;0.9950;complete;25.0767;sigmoid
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;24.7810;sigmoid
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;24.3023;sigmoid
0.7152;0.0392;0.1169;2;0.0000;0.9950;complete;24.3955;relu
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;24.4306;relu
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;24.0544;relu
0.6132;0.0396;0.0961;2;0.0000;0.5000;complete;7.2028;sigmoid
0.5781;0.0398;0.0957;2;0.0000;0.5000;average;7.2024;sigmoid
0.6270;0.0397;0.0871;2;0.0000;0.5000;single;7.2111;sigmoid
0.5624;0.0398;0.0665;2;0.0000;0.5000;complete;7.1114;relu
0.5655;0.0399;0.0431;2;0.0000;0.5000;average;7.1957;relu
0.6170;0.0397;0.0914;2;0.0000;0.5000;single;7.1172;relu
0.6345;0.0395;0.1099;2;0.0000;0.5500;complete;25.3589;sigmoid
0.5971;0.0397;0.1017;2;0.0000;0.5500;average;25.3769;sigmoid
0.5993;0.0398;0.0689;2;0.0000;0.5500;single;24.8772;sigmoid
0.5876;0.0397;0.0810;2;0.0000;0.5500;complete;25.2605;relu
0.5594;0.0399;0.0582;2;0.0000;0.5500;average;25.2462;relu
0.5878;0.0399;0.0305;2;0.0000;0.5500;single;25.0292;relu
0.7059;0.0394;0.1139;2;0.0000;0.7500;complete;25.4688;sigmoid
0.6752;0.0396;0.1017;2;0.0000;0.7500;average;25.1742;sigmoid
0.6782;0.0397;0.0865;2;0.0000;0.7500;single;25.1033;sigmoid
0.6899;0.0396;0.0716;2;0.0000;0.7500;complete;25.2659;relu
0.7006;0.0396;0.0896;2;0.0000;0.7500;average;25.4078;relu
0.6956;0.0395;0.1023;2;0.0000;0.7500;single;24.9344;relu
0.7611;0.0391;0.1332;2;0.0000;0.9500;complete;25.1321;sigmoid
0.7475;0.0394;0.0988;2;0.0000;0.9500;average;25.2852;sigmoid
0.7361;0.0395;0.0970;2;0.0000;0.9500;single;25.4380;sigmoid
0.7661;0.0392;0.1212;2;0.0000;0.9500;complete;28.8491;relu
0.7480;0.0394;0.0884;2;0.0000;0.9500;average;25.3454;relu
0.7443;0.0395;0.0964;2;0.0000;0.9500;single;25.0382;relu
0.7152;0.0392;0.1169;2;0.0000;0.9950;complete;25.4581;sigmoid
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;25.4373;sigmoid
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;25.3220;sigmoid
0.7152;0.0392;0.1169;2;0.0000;0.9950;complete;25.5550;relu
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;25.5850;relu
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;25.2566;relu
0.5913;0.0396;0.0958;2;0.0000;0.5000;complete;7.2491;sigmoid
0.5762;0.0398;0.0958;2;0.0000;0.5000;average;7.2251;sigmoid
0.5943;0.0397;0.0884;2;0.0000;0.5000;single;7.3249;sigmoid
0.5605;0.0398;0.0668;2;0.0000;0.5000;complete;7.1112;relu
0.5685;0.0399;0.0421;2;0.0000;0.5000;average;7.1138;relu
