MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.6834;0.0393;0.1759;2;0.0000;0.5000;7.4293;sigmoid
0.6679;0.0393;0.1821;2;0.0000;0.5000;7.2022;relu
0.6640;0.0394;0.1426;2;0.0000;0.5500;24.9633;sigmoid
0.6893;0.0391;0.2280;2;0.0000;0.5500;24.9333;relu
0.7200;0.0393;0.1925;2;0.0000;0.7500;24.8237;sigmoid
0.7362;0.0391;0.2444;2;0.0000;0.7500;24.8062;relu
0.7509;0.0389;0.2531;2;0.0000;0.9500;24.8943;sigmoid
0.7737;0.0390;0.2397;2;0.0000;0.9500;25.0883;relu
0.7371;0.0389;0.2451;2;0.0000;0.9950;24.8669;sigmoid
0.7350;0.0390;0.2404;2;0.0000;0.9950;24.9821;relu
0.6028;0.0396;0.1083;2;0.0000;0.5000;7.2370;sigmoid
0.5452;0.0398;0.0928;2;0.0000;0.5000;7.1334;relu
0.6195;0.0396;0.1079;2;0.0000;0.5500;26.3562;sigmoid
0.5498;0.0399;0.0785;2;0.0000;0.5500;25.8013;relu
0.7075;0.0393;0.1772;2;0.0000;0.7500;25.9511;sigmoid
0.6448;0.0396;0.0628;2;0.0000;0.7500;25.6972;relu
0.7698;0.0389;0.2269;2;0.0000;0.9500;26.0069;sigmoid
0.7655;0.0391;0.1774;2;0.0000;0.9500;25.8904;relu
0.7565;0.0389;0.2237;2;0.0000;0.9950;26.4035;sigmoid
0.7581;0.0388;0.2284;2;0.0000;0.9950;26.3203;relu
0.5860;0.0397;0.0869;2;0.0000;0.5000;7.2806;sigmoid
0.5359;0.0399;0.0442;2;0.0000;0.5000;7.1600;relu
0.5882;0.0397;0.0959;2;0.0000;0.5500;26.0683;sigmoid
0.5991;0.0397;0.1005;2;0.0000;0.5500;25.8796;relu
0.6868;0.0392;0.1676;2;0.0000;0.7500;26.7080;sigmoid
0.6745;0.0393;0.1570;2;0.0000;0.7500;25.8258;relu
0.7392;0.0392;0.1786;2;0.0000;0.9500;25.9294;sigmoid
0.7596;0.0392;0.1495;2;0.0000;0.9500;25.9178;relu
0.7590;0.0388;0.2927;2;0.0000;0.9950;26.4144;sigmoid
0.7339;0.0390;0.2135;2;0.0000;0.9950;26.5627;relu
0.5846;0.0397;0.0949;2;0.0000;0.5000;7.3417;sigmoid
0.5427;0.0399;0.0707;2;0.0000;0.5000;7.2253;relu
0.6034;0.0396;0.1094;2;0.0000;0.5500;26.3200;sigmoid
0.5495;0.0398;0.0857;2;0.0000;0.5500;25.5760;relu
0.6406;0.0394;0.1459;2;0.0000;0.7500;26.2205;sigmoid
0.6348;0.0396;0.0657;2;0.0000;0.7500;25.8660;relu
0.7530;0.0389;0.2114;2;0.0000;0.9500;26.3967;sigmoid
0.7457;0.0392;0.2077;2;0.0000;0.9500;26.1179;relu
0.7357;0.0390;0.2243;2;0.0000;0.9950;26.4987;sigmoid
0.7271;0.0390;0.2112;2;0.0000;0.9950;26.4815;relu
0.6130;0.0396;0.1073;2;0.0000;0.5000;7.2773;sigmoid
0.5679;0.0397;0.0803;2;0.0000;0.5000;7.1893;relu
0.5973;0.0397;0.1278;2;0.0000;0.5500;25.9373;sigmoid
0.5997;0.0396;0.1123;2;0.0000;0.5500;25.3146;relu
0.6668;0.0393;0.1719;2;0.0000;0.7500;26.3678;sigmoid
0.6323;0.0397;0.0620;2;0.0000;0.7500;26.9470;relu
0.7423;0.0390;0.1862;2;0.0000;0.9500;26.7186;sigmoid
0.7547;0.0391;0.2224;2;0.0000;0.9500;26.4669;relu
0.7597;0.0388;0.2247;2;0.0000;0.9950;26.8143;sigmoid
0.7515;0.0388;0.2338;2;0.0000;0.9950;26.7514;relu
0.5861;0.0396;0.1221;2;0.0000;0.5000;7.5310;sigmoid
0.5726;0.0397;0.0830;2;0.0000;0.5000;7.1203;relu
0.5599;0.0398;0.0787;2;0.0000;0.5500;25.8756;sigmoid
0.6001;0.0396;0.1195;2;0.0000;0.5500;25.5736;relu
0.6266;0.0395;0.1500;2;0.0000;0.7500;26.1400;sigmoid
0.6459;0.0395;0.0857;2;0.0000;0.7500;25.9632;relu
0.7216;0.0391;0.1958;2;0.0000;0.9500;26.6427;sigmoid
0.7463;0.0392;0.1935;2;0.0000;0.9500;26.6183;relu
0.7448;0.0387;0.2442;2;0.0000;0.9950;27.8697;sigmoid
0.7547;0.0389;0.2448;2;0.0000;0.9950;26.6123;relu
0.5652;0.0398;0.0869;2;0.0001;0.5000;7.3016;sigmoid
0.5402;0.0398;0.0869;2;0.0001;0.5000;7.1687;relu
0.5331;0.0397;0.1064;2;0.0001;0.5500;25.6776;sigmoid
0.5428;0.0398;0.0868;2;0.0001;0.5500;24.5752;relu
0.6666;0.0392;0.1941;2;0.0001;0.7500;26.3702;sigmoid
0.6632;0.0394;0.1636;2;0.0001;0.7500;25.1320;relu
0.7214;0.0392;0.1737;2;0.0001;0.9500;26.8529;sigmoid
0.7537;0.0392;0.1754;2;0.0001;0.9500;26.5825;relu
0.7257;0.0391;0.1768;2;0.0001;0.9950;26.9660;sigmoid
0.7376;0.0390;0.2436;2;0.0001;0.9950;26.9741;relu
0.5307;0.0399;0.0647;2;0.0010;0.5000;7.2582;sigmoid
0.5421;0.0397;0.1107;2;0.0010;0.5000;7.2847;relu
0.5395;0.0398;0.0766;2;0.0010;0.5500;25.0958;sigmoid
0.5380;0.0397;0.0950;2;0.0010;0.5500;24.6834;relu
0.6086;0.0395;0.1215;2;0.0010;0.7500;25.2968;sigmoid
0.6438;0.0396;0.0734;2;0.0010;0.7500;24.4957;relu
0.7233;0.0391;0.1997;2;0.0010;0.9500;26.8529;sigmoid
0.7552;0.0391;0.1891;2;0.0010;0.9500;25.3136;relu
0.7274;0.0389;0.2407;2;0.0010;0.9950;27.2614;sigmoid
0.7440;0.0389;0.2210;2;0.0010;0.9950;26.1141;relu
0.5188;0.0399;0.0681;2;0.0100;0.5000;7.2673;sigmoid
0.5320;0.0398;0.0963;2;0.0100;0.5000;7.2100;relu
0.5392;0.0397;0.1150;2;0.0100;0.5500;25.1441;sigmoid
0.5283;0.0397;0.1087;2;0.0100;0.5500;24.6995;relu
0.6214;0.0395;0.1157;2;0.0100;0.7500;24.9023;sigmoid
0.6552;0.0395;0.1113;2;0.0100;0.7500;24.8777;relu
0.7070;0.0391;0.1757;2;0.0100;0.9500;25.7600;sigmoid
0.7495;0.0391;0.1950;2;0.0100;0.9500;24.5644;relu
0.7218;0.0390;0.2083;2;0.0100;0.9950;26.0777;sigmoid
0.7330;0.0391;0.2176;2;0.0100;0.9950;24.8081;relu
0.5111;0.0399;0.0564;2;0.1000;0.5000;7.2149;sigmoid
0.3694;0.0403;0.0108;2;0.1000;0.5000;7.4048;relu
0.5160;0.0398;0.0720;2;0.1000;0.5500;24.7927;sigmoid
0.5222;0.0399;0.0604;2;0.1000;0.5500;24.5037;relu
0.5737;0.0396;0.1103;2;0.1000;0.7500;24.7708;sigmoid
0.6891;0.0393;0.1649;2;0.1000;0.7500;24.4923;relu
0.7086;0.0393;0.1507;2;0.1000;0.9500;24.8751;sigmoid
0.7342;0.0393;0.1839;2;0.1000;0.9500;24.7015;relu
0.6909;0.0393;0.1707;2;0.1000;0.9950;24.8671;sigmoid
0.7302;0.0394;0.1321;2;0.1000;0.9950;24.7964;relu
0.3648;0.0401;0.0218;2;1.0000;0.5000;7.2784;sigmoid
0.6279;0.0394;0.1155;2;1.0000;0.5000;7.1759;relu
0.4607;0.0399;0.0641;2;1.0000;0.5500;24.8734;sigmoid
0.4395;0.0401;0.0194;2;1.0000;0.5500;26.3483;relu
0.6275;0.0397;0.0567;2;1.0000;0.7500;24.8542;sigmoid
