MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.6063;0.0555;0.2505;2;0.0000;0.5000;complete;3.0107;sigmoid
0.6677;0.0550;0.2224;2;0.0000;0.5000;average;3.0238;sigmoid
0.6741;0.0552;0.2331;2;0.0000;0.5000;single;3.0147;sigmoid
0.6063;0.0555;0.2505;2;0.0000;0.5000;complete;2.9268;relu
0.6677;0.0550;0.2224;2;0.0000;0.5000;average;2.9215;relu
0.6741;0.0552;0.2331;2;0.0000;0.5000;single;2.9325;relu
0.6597;0.0551;0.2351;2;0.0000;0.5500;complete;14.3819;sigmoid
0.6801;0.0550;0.2310;2;0.0000;0.5500;average;14.2524;sigmoid
0.6770;0.0551;0.2162;2;0.0000;0.5500;single;14.4636;sigmoid
0.6597;0.0551;0.2351;2;0.0000;0.5500;complete;14.3774;relu
0.6801;0.0550;0.2310;2;0.0000;0.5500;average;14.3348;relu
0.6770;0.0551;0.2162;2;0.0000;0.5500;single;14.3405;relu
0.6977;0.0551;0.2289;2;0.0000;0.7500;complete;14.4856;sigmoid
0.7140;0.0548;0.2692;2;0.0000;0.7500;average;14.5374;sigmoid
0.7093;0.0549;0.2475;2;0.0000;0.7500;single;14.4969;sigmoid
0.6977;0.0551;0.2289;2;0.0000;0.7500;complete;14.3985;relu
0.7140;0.0548;0.2692;2;0.0000;0.7500;average;14.4010;relu
0.7093;0.0549;0.2475;2;0.0000;0.7500;single;14.2198;relu
0.7294;0.0549;0.1915;2;0.0000;0.9500;complete;14.6984;sigmoid
0.7313;0.0547;0.2716;2;0.0000;0.9500;average;14.6627;sigmoid
0.7307;0.0548;0.1869;2;0.0000;0.9500;single;14.3656;sigmoid
0.7294;0.0549;0.1915;2;0.0000;0.9500;complete;14.4816;relu
0.7313;0.0547;0.2716;2;0.0000;0.9500;average;14.5955;relu
0.7307;0.0548;0.1869;2;0.0000;0.9500;single;14.1732;relu
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.2374;sigmoid
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;14.4831;sigmoid
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.2377;sigmoid
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.1482;relu
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;14.2723;relu
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.1536;relu
0.6083;0.0555;0.2558;2;0.0000;0.5000;complete;3.0107;sigmoid
0.6623;0.0551;0.2184;2;0.0000;0.5000;average;3.0323;sigmoid
0.6705;0.0552;0.2355;2;0.0000;0.5000;single;3.0234;sigmoid
0.6061;0.0555;0.2478;2;0.0000;0.5000;complete;3.0258;relu
0.6616;0.0552;0.1959;2;0.0000;0.5000;average;3.0755;relu
0.6656;0.0553;0.2072;2;0.0000;0.5000;single;2.9495;relu
0.6579;0.0551;0.2374;2;0.0000;0.5500;complete;15.0307;sigmoid
0.6743;0.0550;0.2224;2;0.0000;0.5500;average;15.0289;sigmoid
0.6733;0.0551;0.2133;2;0.0000;0.5500;single;14.9479;sigmoid
0.6603;0.0551;0.2289;2;0.0000;0.5500;complete;15.1474;relu
0.6680;0.0551;0.1988;2;0.0000;0.5500;average;15.0381;relu
0.6682;0.0551;0.1927;2;0.0000;0.5500;single;15.0482;relu
0.6919;0.0551;0.2266;2;0.0000;0.7500;complete;15.1110;sigmoid
0.7119;0.0548;0.2633;2;0.0000;0.7500;average;14.9899;sigmoid
0.7070;0.0549;0.2500;2;0.0000;0.7500;single;14.9823;sigmoid
0.6985;0.0552;0.2170;2;0.0000;0.7500;complete;15.1177;relu
0.7143;0.0548;0.2493;2;0.0000;0.7500;average;14.9036;relu
0.7111;0.0550;0.2374;2;0.0000;0.7500;single;14.8877;relu
0.7275;0.0549;0.1916;2;0.0000;0.9500;complete;14.8993;sigmoid
0.7289;0.0547;0.2703;2;0.0000;0.9500;average;14.7447;sigmoid
0.7284;0.0548;0.1880;2;0.0000;0.9500;single;14.8661;sigmoid
0.7277;0.0549;0.1979;2;0.0000;0.9500;complete;14.9922;relu
0.7313;0.0547;0.2621;2;0.0000;0.9500;average;14.9515;relu
0.7273;0.0549;0.1767;2;0.0000;0.9500;single;14.9498;relu
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.7631;sigmoid
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;14.8012;sigmoid
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.5914;sigmoid
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.5797;relu
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;14.4692;relu
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.5721;relu
0.6113;0.0554;0.2579;2;0.0000;0.5000;complete;3.0166;sigmoid
0.6613;0.0551;0.2180;2;0.0000;0.5000;average;3.0289;sigmoid
0.6700;0.0552;0.2370;2;0.0000;0.5000;single;3.0852;sigmoid
0.6129;0.0555;0.2476;2;0.0000;0.5000;complete;2.9482;relu
0.6589;0.0552;0.1927;2;0.0000;0.5000;average;3.0126;relu
0.6646;0.0552;0.2051;2;0.0000;0.5000;single;3.0176;relu
0.6586;0.0551;0.2343;2;0.0000;0.5500;complete;15.3319;sigmoid
0.6746;0.0550;0.2254;2;0.0000;0.5500;average;15.3027;sigmoid
0.6703;0.0551;0.2131;2;0.0000;0.5500;single;15.2569;sigmoid
0.6584;0.0551;0.2203;2;0.0000;0.5500;complete;15.6241;relu
0.6697;0.0551;0.1986;2;0.0000;0.5500;average;15.6032;relu
0.6689;0.0551;0.1899;2;0.0000;0.5500;single;15.4121;relu
0.6899;0.0551;0.2251;2;0.0000;0.7500;complete;15.3672;sigmoid
0.7111;0.0548;0.2635;2;0.0000;0.7500;average;15.3836;sigmoid
0.7077;0.0549;0.2533;2;0.0000;0.7500;single;15.2643;sigmoid
0.6965;0.0552;0.2148;2;0.0000;0.7500;complete;15.0854;relu
0.7144;0.0548;0.2543;2;0.0000;0.7500;average;15.4207;relu
0.7122;0.0550;0.2370;2;0.0000;0.7500;single;15.0939;relu
0.7253;0.0549;0.1898;2;0.0000;0.9500;complete;15.1506;sigmoid
0.7271;0.0547;0.2656;2;0.0000;0.9500;average;15.3887;sigmoid
0.7262;0.0548;0.1878;2;0.0000;0.9500;single;14.9633;sigmoid
0.7268;0.0549;0.1984;2;0.0000;0.9500;complete;15.1993;relu
0.7312;0.0547;0.2606;2;0.0000;0.9500;average;15.4449;relu
0.7280;0.0549;0.1750;2;0.0000;0.9500;single;14.8979;relu
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.9695;sigmoid
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;14.8011;sigmoid
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.8203;sigmoid
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.8521;relu
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;14.8457;relu
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.7853;relu
0.6125;0.0554;0.2588;2;0.0000;0.5000;complete;3.0946;sigmoid
0.6613;0.0551;0.2160;2;0.0000;0.5000;average;3.0325;sigmoid
0.6667;0.0552;0.2338;2;0.0000;0.5000;single;3.2238;sigmoid
0.6147;0.0555;0.2476;2;0.0000;0.5000;complete;2.9450;relu
0.6605;0.0552;0.1912;2;0.0000;0.5000;average;2.9738;relu
0.6648;0.0552;0.2049;2;0.0000;0.5000;single;2.9577;relu
0.6584;0.0551;0.2326;2;0.0000;0.5500;complete;15.4405;sigmoid
0.6731;0.0550;0.2211;2;0.0000;0.5500;average;15.4255;sigmoid
0.6695;0.0551;0.2100;2;0.0000;0.5500;single;15.1893;sigmoid
0.6610;0.0551;0.2172;2;0.0000;0.5500;complete;15.4983;relu
0.6684;0.0551;0.1950;2;0.0000;0.5500;average;15.5144;relu
0.6698;0.0551;0.1903;2;0.0000;0.5500;single;15.3507;relu
0.6879;0.0551;0.2229;2;0.0000;0.7500;complete;15.5407;sigmoid
0.7107;0.0548;0.2643;2;0.0000;0.7500;average;15.1447;sigmoid
