MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.6782;0.0550;0.2439;2;0.0000;0.5000;3.0847;sigmoid
0.6404;0.0553;0.2196;2;0.0000;0.5000;3.2712;relu
0.6698;0.0550;0.2498;2;0.0000;0.5500;15.4625;sigmoid
0.6936;0.0548;0.2947;2;0.0000;0.5500;15.4035;relu
0.6942;0.0550;0.2298;2;0.0000;0.7500;15.2990;sigmoid
0.7166;0.0548;0.2488;2;0.0000;0.7500;15.3264;relu
0.7252;0.0548;0.2376;2;0.0000;0.9500;15.3789;sigmoid
0.7292;0.0546;0.2672;2;0.0000;0.9500;15.2562;relu
0.6889;0.0550;0.2218;2;0.0000;0.9950;15.1558;sigmoid
0.6926;0.0549;0.1797;2;0.0000;0.9950;15.2688;relu
0.6632;0.0550;0.2401;2;0.0000;0.5000;3.1861;sigmoid
0.6553;0.0551;0.2267;2;0.0000;0.5000;3.0963;relu
0.6345;0.0552;0.1887;2;0.0000;0.5500;15.8687;sigmoid
0.6648;0.0551;0.2231;2;0.0000;0.5500;15.7983;relu
0.6978;0.0548;0.2715;2;0.0000;0.7500;16.1399;sigmoid
0.7068;0.0549;0.2745;2;0.0000;0.7500;15.8947;relu
0.7285;0.0549;0.2917;2;0.0000;0.9500;15.8192;sigmoid
0.7338;0.0546;0.3331;2;0.0000;0.9500;15.6995;relu
0.6536;0.0550;0.1865;2;0.0000;0.9950;15.4707;sigmoid
0.6762;0.0551;0.1719;2;0.0000;0.9950;15.6238;relu
0.6612;0.0551;0.2114;2;0.0000;0.5000;3.0893;sigmoid
0.6575;0.0552;0.2063;2;0.0000;0.5000;3.0576;relu
0.6668;0.0550;0.2163;2;0.0000;0.5500;16.0240;sigmoid
0.6520;0.0551;0.1969;2;0.0000;0.5500;16.1124;relu
0.6791;0.0550;0.2095;2;0.0000;0.7500;15.7984;sigmoid
0.6938;0.0549;0.2467;2;0.0000;0.7500;16.1816;relu
0.7214;0.0546;0.3260;2;0.0000;0.9500;16.0709;sigmoid
0.7456;0.0547;0.3403;2;0.0000;0.9500;15.8458;relu
0.6755;0.0550;0.1986;2;0.0000;0.9950;15.7510;sigmoid
0.7074;0.0546;0.3185;2;0.0000;0.9950;15.6156;relu
0.6817;0.0548;0.2674;2;0.0000;0.5000;3.0934;sigmoid
0.6691;0.0550;0.2228;2;0.0000;0.5000;3.0711;relu
0.6678;0.0549;0.2511;2;0.0000;0.5500;16.1525;sigmoid
0.6540;0.0551;0.2295;2;0.0000;0.5500;16.1903;relu
0.7015;0.0547;0.2609;2;0.0000;0.7500;16.3435;sigmoid
0.7043;0.0549;0.2594;2;0.0000;0.7500;16.3615;relu
0.7225;0.0547;0.3107;2;0.0000;0.9500;15.9798;sigmoid
0.7216;0.0547;0.2746;2;0.0000;0.9500;16.3687;relu
0.6767;0.0548;0.2497;2;0.0000;0.9950;15.6843;sigmoid
0.6796;0.0548;0.2387;2;0.0000;0.9950;15.7507;relu
0.6330;0.0553;0.1949;2;0.0000;0.5000;3.1732;sigmoid
0.6354;0.0553;0.1727;2;0.0000;0.5000;3.0590;relu
0.6701;0.0551;0.2406;2;0.0000;0.5500;16.5566;sigmoid
0.6603;0.0553;0.1747;2;0.0000;0.5500;16.3662;relu
0.6997;0.0550;0.2497;2;0.0000;0.7500;16.4182;sigmoid
0.6940;0.0549;0.2548;2;0.0000;0.7500;16.3094;relu
0.7207;0.0548;0.2861;2;0.0000;0.9500;16.0866;sigmoid
0.7229;0.0547;0.3115;2;0.0000;0.9500;16.1089;relu
0.6663;0.0548;0.2457;2;0.0000;0.9950;15.7878;sigmoid
0.6740;0.0548;0.1995;2;0.0000;0.9950;16.0439;relu
0.6553;0.0550;0.2373;2;0.0000;0.5000;3.1057;sigmoid
0.6727;0.0550;0.2133;2;0.0000;0.5000;3.0018;relu
0.6509;0.0551;0.2543;2;0.0000;0.5500;16.2717;sigmoid
0.6476;0.0552;0.1629;2;0.0000;0.5500;15.4921;relu
0.6889;0.0551;0.2200;2;0.0000;0.7500;16.4494;sigmoid
0.6882;0.0549;0.2117;2;0.0000;0.7500;16.4405;relu
0.7366;0.0546;0.3344;2;0.0000;0.9500;16.6260;sigmoid
0.7327;0.0545;0.3317;2;0.0000;0.9500;16.1143;relu
0.6478;0.0551;0.1917;2;0.0000;0.9950;15.6073;sigmoid
0.6979;0.0547;0.2360;2;0.0000;0.9950;15.9569;relu
0.6644;0.0549;0.2538;2;0.0001;0.5000;3.1071;sigmoid
0.6413;0.0553;0.1780;2;0.0001;0.5000;2.9904;relu
0.6366;0.0552;0.1737;2;0.0001;0.5500;15.6794;sigmoid
0.6827;0.0549;0.2433;2;0.0001;0.5500;14.9706;relu
0.7023;0.0548;0.2653;2;0.0001;0.7500;16.3217;sigmoid
0.6978;0.0550;0.2648;2;0.0001;0.7500;15.1890;relu
0.7226;0.0549;0.2678;2;0.0001;0.9500;16.5616;sigmoid
0.7157;0.0546;0.2963;2;0.0001;0.9500;16.6243;relu
0.6938;0.0550;0.2324;2;0.0001;0.9950;15.9833;sigmoid
0.6737;0.0548;0.2346;2;0.0001;0.9950;15.9682;relu
0.6490;0.0550;0.2496;2;0.0010;0.5000;3.0695;sigmoid
0.6498;0.0553;0.2080;2;0.0010;0.5000;2.9752;relu
0.6519;0.0553;0.1822;2;0.0010;0.5500;15.5786;sigmoid
0.6610;0.0552;0.1689;2;0.0010;0.5500;14.7922;relu
0.6658;0.0550;0.2299;2;0.0010;0.7500;16.0170;sigmoid
0.7102;0.0549;0.2368;2;0.0010;0.7500;14.9535;relu
0.7263;0.0547;0.3113;2;0.0010;0.9500;16.2715;sigmoid
0.7227;0.0547;0.2696;2;0.0010;0.9500;15.1953;relu
0.6824;0.0548;0.1946;2;0.0010;0.9950;15.7833;sigmoid
0.7028;0.0547;0.2794;2;0.0010;0.9950;15.1007;relu
0.6452;0.0553;0.1973;2;0.0100;0.5000;3.1403;sigmoid
0.6209;0.0554;0.1993;2;0.0100;0.5000;2.9584;relu
0.6390;0.0554;0.1930;2;0.0100;0.5500;15.0068;sigmoid
0.6508;0.0553;0.1718;2;0.0100;0.5500;14.6961;relu
0.7048;0.0549;0.2821;2;0.0100;0.7500;15.1847;sigmoid
0.6899;0.0548;0.2609;2;0.0100;0.7500;14.9215;relu
0.7430;0.0544;0.3847;2;0.0100;0.9500;15.1884;sigmoid
0.7268;0.0546;0.3313;2;0.0100;0.9500;14.7596;relu
0.6982;0.0548;0.2417;2;0.0100;0.9950;15.1602;sigmoid
0.6636;0.0549;0.2054;2;0.0100;0.9950;14.9180;relu
0.5999;0.0554;0.2538;2;0.1000;0.5000;3.1287;sigmoid
0.5728;0.0556;0.1610;2;0.1000;0.5000;2.9784;relu
0.6335;0.0553;0.2217;2;0.1000;0.5500;14.9953;sigmoid
0.6097;0.0551;0.2261;2;0.1000;0.5500;14.8607;relu
0.6622;0.0552;0.2118;2;0.1000;0.7500;14.9390;sigmoid
0.6907;0.0550;0.2334;2;0.1000;0.7500;14.8046;relu
0.7106;0.0549;0.2452;2;0.1000;0.9500;15.0714;sigmoid
0.7434;0.0546;0.3491;2;0.1000;0.9500;14.8732;relu
0.6760;0.0549;0.2578;2;0.1000;0.9950;15.1630;sigmoid
0.6792;0.0550;0.2010;2;0.1000;0.9950;14.8780;relu
0.5675;0.0554;0.2276;2;1.0000;0.5000;3.0725;sigmoid
0.4909;0.0557;0.1048;2;1.0000;0.5000;2.9952;relu
0.5694;0.0554;0.1799;2;1.0000;0.5500;14.9582;sigmoid
0.5085;0.0554;0.2016;2;1.0000;0.5500;15.0116;relu
0.6587;0.0550;0.2848;2;1.0000;0.7500;14.9431;sigmoid
0.6112;0.0552;0.1382;2;1.0000;0.7500;14.8454;relu
0.7166;0.0548;0.2100;2;1.0000;0.9500;14.9301;sigmoid
0.7314;0.0547;0.2647;2;1.0000;0.9500;14.8232;relu
0.7010;0.0549;0.1928;2;1.0000;0.9950;15.3356;sigmoid
0.6725;0.0549;0.2298;2;1.0000;0.9950;14.6854;relu
0.4177;0.0556;0.1374;2;10.0000;0.5000;3.0683;sigmoid
0.3670;0.0558;0.1267;2;10.0000;0.5000;2.9490;relu
0.4629;0.0554;0.2131;2;10.0000;0.5500;14.8152;sigmoid
0.3639;0.0557;0.1504;2;10.0000;0.5500;14.7548;relu
0.5878;0.0551;0.2146;2;10.0000;0.7500;14.9892;sigmoid
0.5207;0.0553;0.1901;2;10.0000;0.7500;14.8423;relu
0.6978;0.0549;0.2008;2;10.0000;0.9500;15.0048;sigmoid
0.6451;0.0551;0.1868;2;10.0000;0.9500;14.7472;relu
0.6665;0.0552;0.1709;2;10.0000;0.9950;14.9868;sigmoid
0.6582;0.0554;0.1240;2;10.0000;0.9950;14.7014;relu
0.6670;0.0549;0.2937;4;0.0000;0.5000;3.5601;sigmoid
0.6650;0.0550;0.2331;4;0.0000;0.5000;3.4255;relu
0.6612;0.0551;0.2127;4;0.0000;0.5500;15.6470;sigmoid
0.6590;0.0551;0.2280;4;0.0000;0.5500;15.3011;relu
0.6994;0.0549;0.2789;4;0.0000;0.7500;15.7585;sigmoid
0.6903;0.0549;0.2268;4;0.0000;0.7500;15.5976;relu
0.7480;0.0546;0.3223;4;0.0000;0.9500;15.7125;sigmoid
0.7377;0.0547;0.2913;4;0.0000;0.9500;15.3919;relu
0.6812;0.0548;0.2207;4;0.0000;0.9950;15.5546;sigmoid
0.6789;0.0546;0.2548;4;0.0000;0.9950;15.2677;relu
0.6546;0.0550;0.2379;4;0.0000;0.5000;3.5918;sigmoid
0.6533;0.0551;0.1999;4;0.0000;0.5000;3.4179;relu
0.6527;0.0551;0.2325;4;0.0000;0.5500;16.2921;sigmoid
0.6694;0.0551;0.2352;4;0.0000;0.5500;16.1327;relu
0.7153;0.0546;0.2822;4;0.0000;0.7500;16.2523;sigmoid
0.7146;0.0547;0.2731;4;0.0000;0.7500;16.3464;relu
0.7180;0.0546;0.2689;4;0.0000;0.9500;16.2648;sigmoid
0.7268;0.0546;0.3156;4;0.0000;0.9500;15.9437;relu
0.6650;0.0548;0.2095;4;0.0000;0.9950;16.0326;sigmoid
0.7041;0.0546;0.2432;4;0.0000;0.9950;16.0681;relu
