MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.4244;0.3779;0.6163;2;0.0000;0.5000;complete;0.3998;sigmoid
0.4244;0.3740;0.4683;2;0.0000;0.5000;average;0.3959;sigmoid
0.4246;0.3740;0.4701;2;0.0000;0.5000;single;0.4354;sigmoid
0.4244;0.3779;0.6163;2;0.0000;0.5000;complete;0.3527;relu
0.4244;0.3740;0.4683;2;0.0000;0.5000;average;0.3489;relu
0.4246;0.3740;0.4701;2;0.0000;0.5000;single;0.3497;relu
0.4244;0.3779;0.6163;2;0.0000;0.5500;complete;3.6552;sigmoid
0.4244;0.3740;0.4683;2;0.0000;0.5500;average;2.9492;sigmoid
0.4246;0.3740;0.4701;2;0.0000;0.5500;single;3.7051;sigmoid
0.4244;0.3779;0.6163;2;0.0000;0.5500;complete;2.9612;relu
0.4244;0.3740;0.4683;2;0.0000;0.5500;average;3.6882;relu
0.4246;0.3740;0.4701;2;0.0000;0.5500;single;2.9634;relu
0.4243;0.3776;0.6163;2;0.0000;0.7500;complete;3.7549;sigmoid
0.4243;0.3737;0.4683;2;0.0000;0.7500;average;3.0644;sigmoid
0.4243;0.3738;0.4701;2;0.0000;0.7500;single;3.6615;sigmoid
0.4243;0.3776;0.6163;2;0.0000;0.7500;complete;2.9946;relu
0.4243;0.3737;0.4683;2;0.0000;0.7500;average;3.7084;relu
0.4243;0.3738;0.4701;2;0.0000;0.7500;single;3.0410;relu
0.4241;0.3779;0.6376;2;0.0000;0.9500;complete;3.7513;sigmoid
0.4241;0.3737;0.4887;2;0.0000;0.9500;average;3.0184;sigmoid
0.4239;0.3739;0.4850;2;0.0000;0.9500;single;3.7480;sigmoid
0.4241;0.3779;0.6376;2;0.0000;0.9500;complete;3.0263;relu
0.4241;0.3737;0.4887;2;0.0000;0.9500;average;3.5945;relu
0.4239;0.3739;0.4850;2;0.0000;0.9500;single;2.9799;relu
0.4222;0.3781;0.6206;2;0.0000;0.9950;complete;3.7660;sigmoid
0.4242;0.3740;0.4738;2;0.0000;0.9950;average;3.0782;sigmoid
0.4234;0.3742;0.4812;2;0.0000;0.9950;single;3.7462;sigmoid
0.4222;0.3781;0.6206;2;0.0000;0.9950;complete;3.0079;relu
0.4242;0.3740;0.4738;2;0.0000;0.9950;average;3.7811;relu
0.4234;0.3742;0.4812;2;0.0000;0.9950;single;3.0542;relu
0.4244;0.3739;0.5192;2;0.0000;0.5000;complete;0.3615;sigmoid
0.4244;0.3718;0.4887;2;0.0000;0.5000;average;0.3686;sigmoid
0.4246;0.3715;0.4869;2;0.0000;0.5000;single;0.3514;sigmoid
0.4244;0.3716;0.4794;2;0.0000;0.5000;complete;0.3066;relu
0.4244;0.3716;0.4794;2;0.0000;0.5000;average;0.3096;relu
0.4246;0.3716;0.4812;2;0.0000;0.5000;single;0.3039;relu
0.4244;0.3739;0.5192;2;0.0000;0.5500;complete;3.6100;sigmoid
0.4244;0.3718;0.4887;2;0.0000;0.5500;average;2.9125;sigmoid
0.4246;0.3715;0.4869;2;0.0000;0.5500;single;3.6376;sigmoid
0.4244;0.3716;0.4794;2;0.0000;0.5500;complete;2.9359;relu
0.4244;0.3716;0.4794;2;0.0000;0.5500;average;3.6530;relu
0.4246;0.3716;0.4812;2;0.0000;0.5500;single;2.9117;relu
0.4243;0.3731;0.4757;2;0.0000;0.7500;complete;3.6855;sigmoid
0.4243;0.3716;0.4887;2;0.0000;0.7500;average;3.0494;sigmoid
0.4243;0.3713;0.4869;2;0.0000;0.7500;single;3.7171;sigmoid
0.4243;0.3714;0.4794;2;0.0000;0.7500;complete;2.9056;relu
0.4243;0.3712;0.4775;2;0.0000;0.7500;average;3.5945;relu
0.4243;0.3713;0.4794;2;0.0000;0.7500;single;3.0258;relu
0.4241;0.3734;0.5388;2;0.0000;0.9500;complete;3.6729;sigmoid
0.4241;0.3715;0.5096;2;0.0000;0.9500;average;2.9992;sigmoid
0.4239;0.3714;0.5020;2;0.0000;0.9500;single;3.7271;sigmoid
