MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.4244;0.3740;0.4683;2;0.0000;0.5000;0.4723;sigmoid
0.4244;0.3779;0.6163;2;0.0000;0.5000;0.4183;relu
0.4244;0.3779;0.6163;2;0.0000;0.5500;3.7817;sigmoid
0.4244;0.3779;0.6163;2;0.0000;0.5500;4.0822;relu
0.4243;0.3737;0.4683;2;0.0000;0.7500;3.7114;sigmoid
0.4243;0.3776;0.6163;2;0.0000;0.7500;3.7976;relu
0.4241;0.3779;0.6376;2;0.0000;0.9500;3.7160;sigmoid
0.4241;0.3779;0.6376;2;0.0000;0.9500;3.8874;relu
0.4238;0.3782;0.6206;2;0.0000;0.9950;3.8834;sigmoid
0.4238;0.3782;0.6206;2;0.0000;0.9950;3.8065;relu
0.4244;0.3779;0.6206;2;0.0000;0.5000;0.4647;sigmoid
0.4244;0.3716;0.4794;2;0.0000;0.5000;0.3360;relu
0.4244;0.3723;0.5309;2;0.0000;0.5500;3.7957;sigmoid
0.4244;0.3716;0.4794;2;0.0000;0.5500;3.0892;relu
0.4243;0.3776;0.6206;2;0.0000;0.7500;3.6905;sigmoid
0.4243;0.3712;0.4775;2;0.0000;0.7500;3.0277;relu
0.4241;0.3719;0.5507;2;0.0000;0.9500;3.7810;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;3.6999;relu
0.4238;0.3717;0.5270;2;0.0000;0.9950;3.6416;sigmoid
0.4238;0.3716;0.5270;2;0.0000;0.9950;3.7678;relu
0.4244;0.3779;0.6206;2;0.0000;0.5000;0.3605;sigmoid
0.4244;0.3716;0.4794;2;0.0000;0.5000;0.2938;relu
0.4244;0.3779;0.6206;2;0.0000;0.5500;3.0254;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5500;3.7345;relu
0.4243;0.3776;0.6206;2;0.0000;0.7500;3.7092;sigmoid
0.4243;0.3712;0.4775;2;0.0000;0.7500;2.9888;relu
0.4241;0.3719;0.5507;2;0.0000;0.9500;3.7399;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;3.7822;relu
0.4238;0.3717;0.5270;2;0.0000;0.9950;3.6620;sigmoid
0.4238;0.3716;0.5270;2;0.0000;0.9950;3.7259;relu
0.4244;0.3779;0.6206;2;0.0000;0.5000;0.3586;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5000;0.3633;relu
0.4244;0.3779;0.6206;2;0.0000;0.5500;4.2729;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5500;2.9800;relu
0.4243;0.3776;0.6206;2;0.0000;0.7500;3.7037;sigmoid
0.4245;0.3712;0.4794;2;0.0000;0.7500;3.7362;relu
0.4241;0.3719;0.5507;2;0.0000;0.9500;3.6474;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;2.9379;relu
0.4238;0.3717;0.5270;2;0.0000;0.9950;3.6538;sigmoid
0.4238;0.3716;0.5270;2;0.0000;0.9950;3.7525;relu
0.4243;0.3723;0.5290;2;0.0000;0.5000;0.3562;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5000;0.3001;relu
0.4244;0.3779;0.6227;2;0.0000;0.5500;3.6468;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5500;3.6793;relu
0.4242;0.3776;0.6227;2;0.0000;0.7500;3.6717;sigmoid
0.4245;0.3712;0.4794;2;0.0000;0.7500;3.7588;relu
0.4241;0.3719;0.5507;2;0.0000;0.9500;3.6720;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;3.7264;relu
0.4238;0.3717;0.5270;2;0.0000;0.9950;3.6267;sigmoid
0.4238;0.3716;0.5270;2;0.0000;0.9950;3.6849;relu
0.4239;0.3724;0.5251;2;0.0000;0.5000;0.3455;sigmoid
0.4243;0.3714;0.4831;2;0.0000;0.5000;0.2953;relu
0.4240;0.3779;0.6142;2;0.0000;0.5500;3.6778;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5500;2.9697;relu
0.4244;0.3778;0.6227;2;0.0000;0.7500;3.6984;sigmoid
0.4245;0.3712;0.4794;2;0.0000;0.7500;3.6917;relu
0.4241;0.3719;0.5507;2;0.0000;0.9500;3.5970;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;2.9788;relu
0.4238;0.3717;0.5270;2;0.0000;0.9950;3.6329;sigmoid
0.4228;0.3714;0.5270;2;0.0000;0.9950;3.7663;relu
0.4237;0.3723;0.5212;2;0.0001;0.5000;0.3651;sigmoid
0.4244;0.3716;0.4794;2;0.0001;0.5000;0.3069;relu
0.4239;0.3779;0.6121;2;0.0001;0.5500;3.6833;sigmoid
0.4244;0.3716;0.4794;2;0.0001;0.5500;3.7389;relu
0.4244;0.3778;0.6227;2;0.0001;0.7500;3.6813;sigmoid
0.4243;0.3713;0.4812;2;0.0001;0.7500;3.7248;relu
0.4242;0.3719;0.5527;2;0.0001;0.9500;3.6885;sigmoid
0.4241;0.3713;0.4982;2;0.0001;0.9500;3.7017;relu
0.4239;0.3719;0.5368;2;0.0001;0.9950;3.6670;sigmoid
0.4219;0.3711;0.5154;2;0.0001;0.9950;3.7314;relu
0.4236;0.3778;0.6058;2;0.0010;0.5000;0.3533;sigmoid
0.4237;0.3710;0.4701;2;0.0010;0.5000;0.2971;relu
0.4239;0.3779;0.6100;2;0.0010;0.5500;3.5922;sigmoid
0.4230;0.3706;0.4628;2;0.0010;0.5500;2.9094;relu
0.4244;0.3725;0.5329;2;0.0010;0.7500;3.6378;sigmoid
0.4242;0.3731;0.5708;2;0.0010;0.7500;3.7513;relu
0.4241;0.3721;0.5487;2;0.0010;0.9500;3.6398;sigmoid
0.4241;0.3713;0.4982;2;0.0010;0.9500;2.9932;relu
0.4240;0.3712;0.5173;2;0.0010;0.9950;3.6033;sigmoid
0.4237;0.3708;0.5270;2;0.0010;0.9950;3.7226;relu
0.4237;0.3775;0.6163;2;0.0100;0.5000;0.3466;sigmoid
-0.0210;0.2738;0.0003;2;0.0100;0.5000;0.2988;relu
0.4230;0.3777;0.6100;2;0.0100;0.5500;3.6336;sigmoid
-0.0281;0.2646;0.0001;2;0.0100;0.5500;3.7398;relu
0.4240;0.3772;0.6163;2;0.0100;0.7500;3.6638;sigmoid
0.0014;0.3514;0.0026;2;0.0100;0.7500;3.6898;relu
0.4241;0.3718;0.5408;2;0.0100;0.9500;3.6427;sigmoid
0.0010;0.3515;0.0053;2;0.0100;0.9500;3.6972;relu
0.0005;0.3776;0.0017;2;0.0100;0.9950;3.6089;sigmoid
0.0007;0.3548;0.0040;2;0.0100;0.9950;3.7193;relu
0.3598;0.3506;0.1772;2;0.1000;0.5000;0.3461;sigmoid
-0.0154;0.2648;-0.0001;2;0.1000;0.5000;0.3033;relu
0.0933;0.2965;0.0342;2;0.1000;0.5500;3.6451;sigmoid
-0.0371;0.2602;-0.0004;2;0.1000;0.5500;2.9392;relu
0.3762;0.3537;0.1969;2;0.1000;0.7500;3.6036;sigmoid
0.0011;0.3242;-0.0005;2;0.1000;0.7500;3.6850;relu
0.0722;0.3176;0.0244;2;0.1000;0.9500;3.6146;sigmoid
0.0011;0.3305;0.0003;2;0.1000;0.9500;2.8878;relu
0.0106;0.3311;-0.0005;2;0.1000;0.9950;3.7943;sigmoid
0.0012;0.3308;0.0001;2;0.1000;0.9950;3.7228;relu
0.0514;0.3401;0.0384;2;1.0000;0.5000;0.3405;sigmoid
-0.0352;0.2694;-0.0005;2;1.0000;0.5000;0.2965;relu
-0.0226;0.2776;0.0087;2;1.0000;0.5500;3.6658;sigmoid
-0.0375;0.2625;-0.0005;2;1.0000;0.5500;3.6526;relu
-0.0062;0.2790;0.0087;2;1.0000;0.7500;3.6846;sigmoid
-0.0352;0.2694;-0.0005;2;1.0000;0.7500;3.6758;relu
0.0007;0.2835;0.0025;2;1.0000;0.9500;3.6311;sigmoid
-0.0352;0.2694;-0.0005;2;1.0000;0.9500;3.6606;relu
0.0089;0.2887;0.0018;2;1.0000;0.9950;3.6677;sigmoid
