MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.6452;0.1546;0.6189;2;0.0000;0.5000;complete;0.6589;sigmoid
0.7403;0.1531;0.9052;2;0.0000;0.5000;average;0.6623;sigmoid
0.7402;0.1531;0.8979;2;0.0000;0.5000;single;0.6590;sigmoid
0.6452;0.1546;0.6189;2;0.0000;0.5000;complete;0.6252;relu
0.7403;0.1531;0.9052;2;0.0000;0.5000;average;0.6354;relu
0.7402;0.1531;0.8979;2;0.0000;0.5000;single;0.6290;relu
0.6452;0.1546;0.6189;2;0.0000;0.5500;complete;1.6307;sigmoid
0.7403;0.1531;0.9052;2;0.0000;0.5500;average;1.6674;sigmoid
0.7402;0.1531;0.8979;2;0.0000;0.5500;single;1.5720;sigmoid
0.6452;0.1546;0.6189;2;0.0000;0.5500;complete;1.5942;relu
0.7403;0.1531;0.9052;2;0.0000;0.5500;average;1.6031;relu
0.7402;0.1531;0.8979;2;0.0000;0.5500;single;1.5575;relu
0.7293;0.1535;0.8586;2;0.0000;0.7500;complete;1.6036;sigmoid
0.7396;0.1533;0.8819;2;0.0000;0.7500;average;1.6893;sigmoid
0.7394;0.1531;0.9017;2;0.0000;0.7500;single;1.6001;sigmoid
0.7293;0.1535;0.8586;2;0.0000;0.7500;complete;1.5773;relu
0.7396;0.1533;0.8819;2;0.0000;0.7500;average;1.6349;relu
0.7394;0.1531;0.9017;2;0.0000;0.7500;single;1.6530;relu
0.5828;0.1566;0.2823;2;0.0000;0.9500;complete;1.5875;sigmoid
0.6474;0.1560;0.4354;2;0.0000;0.9500;average;1.6025;sigmoid
0.6060;0.1557;0.4020;2;0.0000;0.9500;single;1.5905;sigmoid
0.5828;0.1566;0.2823;2;0.0000;0.9500;complete;1.5611;relu
0.6474;0.1560;0.4354;2;0.0000;0.9500;average;1.5578;relu
0.6060;0.1557;0.4020;2;0.0000;0.9500;single;1.5731;relu
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.7273;sigmoid
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.6359;sigmoid
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.5872;sigmoid
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.5548;relu
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.5954;relu
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.5600;relu
0.6422;0.1545;0.6190;2;0.0000;0.5000;complete;0.6632;sigmoid
0.7373;0.1529;0.9194;2;0.0000;0.5000;average;0.6902;sigmoid
0.7360;0.1529;0.9123;2;0.0000;0.5000;single;0.6595;sigmoid
0.6480;0.1546;0.6291;2;0.0000;0.5000;complete;0.6258;relu
0.7410;0.1530;0.9020;2;0.0000;0.5000;average;0.6499;relu
0.7410;0.1530;0.9020;2;0.0000;0.5000;single;0.6318;relu
0.6435;0.1545;0.6205;2;0.0000;0.5500;complete;1.6511;sigmoid
0.7373;0.1529;0.9199;2;0.0000;0.5500;average;1.6232;sigmoid
0.7363;0.1529;0.9127;2;0.0000;0.5500;single;1.5726;sigmoid
0.6450;0.1545;0.6363;2;0.0000;0.5500;complete;1.6130;relu
0.7410;0.1530;0.9020;2;0.0000;0.5500;average;1.6006;relu
0.7410;0.1530;0.9020;2;0.0000;0.5500;single;1.5587;relu
0.7239;0.1532;0.8605;2;0.0000;0.7500;complete;1.8936;sigmoid
0.7381;0.1530;0.9096;2;0.0000;0.7500;average;1.7452;sigmoid
0.7386;0.1529;0.9143;2;0.0000;0.7500;single;1.6713;sigmoid
0.7265;0.1531;0.8658;2;0.0000;0.7500;complete;1.6435;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;average;1.6202;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;single;1.6812;relu
0.5828;0.1566;0.2823;2;0.0000;0.9500;complete;1.6321;sigmoid
0.6474;0.1560;0.4354;2;0.0000;0.9500;average;1.8394;sigmoid
0.6060;0.1557;0.4020;2;0.0000;0.9500;single;1.6420;sigmoid
0.5828;0.1566;0.2823;2;0.0000;0.9500;complete;1.6456;relu
0.6474;0.1560;0.4354;2;0.0000;0.9500;average;1.7062;relu
0.6060;0.1557;0.4020;2;0.0000;0.9500;single;1.6135;relu
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.6253;sigmoid
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.6007;sigmoid
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.6043;sigmoid
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.5724;relu
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.5618;relu
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.5835;relu
0.6380;0.1545;0.6225;2;0.0000;0.5000;complete;0.6649;sigmoid
0.7317;0.1527;0.9322;2;0.0000;0.5000;average;0.6639;sigmoid
0.7369;0.1528;0.9177;2;0.0000;0.5000;single;0.6592;sigmoid
0.6449;0.1547;0.6304;2;0.0000;0.5000;complete;0.6263;relu
0.7410;0.1530;0.9020;2;0.0000;0.5000;average;0.6312;relu
0.7410;0.1530;0.9020;2;0.0000;0.5000;single;0.6315;relu
0.6370;0.1546;0.6183;2;0.0000;0.5500;complete;1.6468;sigmoid
0.7340;0.1527;0.9330;2;0.0000;0.5500;average;1.6155;sigmoid
0.7355;0.1528;0.9172;2;0.0000;0.5500;single;1.5721;sigmoid
0.6488;0.1546;0.6299;2;0.0000;0.5500;complete;1.6253;relu
0.7409;0.1530;0.9041;2;0.0000;0.5500;average;1.5900;relu
0.7410;0.1530;0.9020;2;0.0000;0.5500;single;1.5470;relu
0.7215;0.1531;0.8797;2;0.0000;0.7500;complete;1.7363;sigmoid
0.7387;0.1528;0.9294;2;0.0000;0.7500;average;1.7026;sigmoid
0.7364;0.1529;0.9158;2;0.0000;0.7500;single;1.6542;sigmoid
0.7273;0.1531;0.8688;2;0.0000;0.7500;complete;1.6184;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;average;1.5874;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;single;1.5916;relu
0.5828;0.1566;0.2823;2;0.0000;0.9500;complete;1.6545;sigmoid
0.6474;0.1560;0.4354;2;0.0000;0.9500;average;1.8017;sigmoid
0.6060;0.1557;0.4020;2;0.0000;0.9500;single;1.6466;sigmoid
0.5828;0.1566;0.2806;2;0.0000;0.9500;complete;1.6274;relu
0.6474;0.1560;0.4354;2;0.0000;0.9500;average;1.6218;relu
0.6062;0.1558;0.3993;2;0.0000;0.9500;single;1.6200;relu
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.5815;sigmoid
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.6056;sigmoid
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.6632;sigmoid
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.5776;relu
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.5606;relu
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.5716;relu
0.6378;0.1545;0.6219;2;0.0000;0.5000;complete;0.6650;sigmoid
0.7319;0.1527;0.9393;2;0.0000;0.5000;average;0.6630;sigmoid
0.7355;0.1529;0.9120;2;0.0000;0.5000;single;0.6639;sigmoid
0.6449;0.1547;0.6304;2;0.0000;0.5000;complete;0.6347;relu
0.7410;0.1529;0.9105;2;0.0000;0.5000;average;0.7321;relu
0.7410;0.1530;0.9020;2;0.0000;0.5000;single;0.6251;relu
0.6364;0.1545;0.6215;2;0.0000;0.5500;complete;1.6541;sigmoid
0.7322;0.1527;0.9339;2;0.0000;0.5500;average;1.6586;sigmoid
0.7360;0.1528;0.9189;2;0.0000;0.5500;single;1.5721;sigmoid
0.6459;0.1546;0.6257;2;0.0000;0.5500;complete;1.6274;relu
0.7410;0.1530;0.9020;2;0.0000;0.5500;average;1.6101;relu
0.7410;0.1530;0.9020;2;0.0000;0.5500;single;1.5491;relu
0.7213;0.1530;0.8822;2;0.0000;0.7500;complete;1.6575;sigmoid
0.7368;0.1528;0.9241;2;0.0000;0.7500;average;1.6895;sigmoid
0.7371;0.1528;0.9184;2;0.0000;0.7500;single;1.6616;sigmoid
0.7285;0.1531;0.8745;2;0.0000;0.7500;complete;1.5930;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;average;1.5772;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;single;1.5648;relu
0.5828;0.1566;0.2823;2;0.0000;0.9500;complete;1.6545;sigmoid
0.6467;0.1560;0.4353;2;0.0000;0.9500;average;1.7498;sigmoid
0.6055;0.1557;0.3974;2;0.0000;0.9500;single;1.6601;sigmoid
0.5828;0.1566;0.2791;2;0.0000;0.9500;complete;1.7270;relu
0.6473;0.1561;0.4335;2;0.0000;0.9500;average;1.6386;relu
0.6062;0.1558;0.3993;2;0.0000;0.9500;single;1.7565;relu
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.5997;sigmoid
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.6057;sigmoid
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.6121;sigmoid
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.5667;relu
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.5795;relu
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.5809;relu
0.6361;0.1545;0.6223;2;0.0000;0.5000;complete;0.6628;sigmoid
0.7313;0.1528;0.9251;2;0.0000;0.5000;average;0.6561;sigmoid
0.7355;0.1527;0.9327;2;0.0000;0.5000;single;0.6618;sigmoid
0.6431;0.1547;0.6259;2;0.0000;0.5000;complete;0.6287;relu
0.7410;0.1529;0.9105;2;0.0000;0.5000;average;0.6589;relu
0.7410;0.1530;0.9020;2;0.0000;0.5000;single;0.6293;relu
0.6369;0.1545;0.6199;2;0.0000;0.5500;complete;1.6173;sigmoid
0.7309;0.1527;0.9382;2;0.0000;0.5500;average;1.5880;sigmoid
0.7322;0.1528;0.9198;2;0.0000;0.5500;single;1.5762;sigmoid
0.6488;0.1546;0.6299;2;0.0000;0.5500;complete;1.6669;relu
0.7410;0.1530;0.9020;2;0.0000;0.5500;average;1.6503;relu
0.7410;0.1530;0.9020;2;0.0000;0.5500;single;1.6206;relu
0.7213;0.1530;0.8794;2;0.0000;0.7500;complete;1.6243;sigmoid
0.7327;0.1528;0.9270;2;0.0000;0.7500;average;1.6012;sigmoid
0.7378;0.1528;0.9264;2;0.0000;0.7500;single;1.5763;sigmoid
0.7285;0.1531;0.8743;2;0.0000;0.7500;complete;1.5788;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;average;1.6363;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;single;1.5461;relu
0.5808;0.1566;0.2829;2;0.0000;0.9500;complete;1.7687;sigmoid
0.6474;0.1560;0.4354;2;0.0000;0.9500;average;1.7962;sigmoid
0.6042;0.1557;0.4000;2;0.0000;0.9500;single;1.6469;sigmoid
0.5828;0.1566;0.2816;2;0.0000;0.9500;complete;1.6336;relu
0.6473;0.1561;0.4338;2;0.0000;0.9500;average;1.6881;relu
0.6059;0.1558;0.3990;2;0.0000;0.9500;single;1.6212;relu
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.5894;sigmoid
