MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.7384;0.1526;0.9479;2;0.0000;0.5000;10.2249;sigmoid
0.6664;0.1542;0.6605;2;0.0000;0.5000;4.8674;relu
0.7399;0.1530;0.8976;2;0.0000;0.5500;9.1921;sigmoid
0.6440;0.1544;0.6275;2;0.0000;0.5500;5.4038;relu
0.7392;0.1531;0.9143;2;0.0000;0.7500;5.5595;sigmoid
0.7386;0.1528;0.9306;2;0.0000;0.7500;2.5067;relu
0.6453;0.1540;0.4719;2;0.0000;0.9500;1.6779;sigmoid
0.6392;0.1545;0.4100;2;0.0000;0.9500;1.6427;relu
0.5034;0.1558;0.2094;2;0.0000;0.9950;1.7839;sigmoid
0.4589;0.1561;0.1260;2;0.0000;0.9950;2.7105;relu
0.7362;0.1526;0.9535;2;0.0000;0.5000;1.2186;sigmoid
0.7398;0.1528;0.9207;2;0.0000;0.5000;0.6665;relu
0.7352;0.1527;0.9419;2;0.0000;0.5500;1.6872;sigmoid
0.7399;0.1529;0.9145;2;0.0000;0.5500;2.8528;relu
0.7371;0.1526;0.9510;2;0.0000;0.7500;1.8799;sigmoid
0.7410;0.1530;0.9020;2;0.0000;0.7500;1.8237;relu
0.6530;0.1542;0.4590;2;0.0000;0.9500;1.7846;sigmoid
0.6563;0.1541;0.4744;2;0.0000;0.9500;1.7896;relu
0.4674;0.1554;0.2134;2;0.0000;0.9950;1.7005;sigmoid
0.5010;0.1558;0.2113;2;0.0000;0.9950;1.6088;relu
0.7361;0.1525;0.9596;2;0.0000;0.5000;0.6826;sigmoid
0.6584;0.1538;0.6760;2;0.0000;0.5000;0.6570;relu
0.6468;0.1539;0.6497;2;0.0000;0.5500;1.7544;sigmoid
0.7390;0.1528;0.9204;2;0.0000;0.5500;1.6227;relu
0.7355;0.1525;0.9572;2;0.0000;0.7500;1.7283;sigmoid
0.6698;0.1538;0.6839;2;0.0000;0.7500;1.7781;relu
0.6514;0.1542;0.4597;2;0.0000;0.9500;1.7172;sigmoid
0.6451;0.1542;0.4662;2;0.0000;0.9500;1.6666;relu
0.4724;0.1559;0.1705;2;0.0000;0.9950;1.6987;sigmoid
